commit	message	characters	characters %
ee4512ed481a126dadd33334186e0e759d7f2f47	trace2: create new combined trace facility	2011	7.54
231af8322ac5313243bc1e8beac8dfd9ff95051d	Teach the "git" command to handle some commands internally	1132	4.25
e9547947795472c07453d0551b0cabb4ae378b5f	git.c: add hidden option --list-parseopt-builtins	766	2.87
2b11e3170e919866c7f5554dd4089289a1bb6726	If you have a config containing something like this:	709	2.66
74866d75793559e8b351a17100679f83b96972ca	git: make super-prefix option	663	2.49
0089521cacd99db8018b7a31e205dad0bf0738c7	git.c: convert --list-* to --list-cmds=*	505	1.89
6acbcb927f8e34857fa8f68fcb4f9076941b24ff	git wrapper: add --git-dir=<path> and --bare options	473	1.77
4ab243a944a6013d9e862adadd6fe6152c842401	Allow an alias to start with "-p"	409	1.53
4394efecfa9f94ad14fe49bc9f499c5806aa83af	make git barf when an alias changes environment variables	395	1.48
0f157315a1020fce76fe2c5a703e40684b9b1699	Check for IO errors after running a command	392	1.47
4e10738a9392ad285aca7d3a19e6775d6b7b513e	Allow per-command pager config	371	1.39
8e49d50388211a0f3e7286f6ee600bf7736f4814	C implementation of the 'git' program, take two.	362	1.36
82f71d9a5a9df718553bf257ad8610e2ef1e1179	alias: show the call history when an alias is looping	352	1.32
e5d7a61953c236fbc468bc1bb01383766d2cb55b	git --list-cmds: collect command list in a string_list	350	1.31
892c41b98ae2e6baf3aa13901cb10db9ac67d2f3	introduce GIT_WORK_TREE to specify the work tree	330	1.24
a1bea2c1fc5e5243e873919248940dd5fff593a4	ref namespaces: infrastructure	322	1.21
efffea033457eedb90ad63596687564f797f12de	git.c: Rename NEEDS_PREFIX to RUN_SETUP	295	1.11
823ab40fd4adc5bf5b5c66b6d189deae34d2a138	add global --literal-pathspecs option	295	1.11
e11dca10cfb3ef1e561c3e789b346a9719f0344a	completion: add and use --list-cmds=nohelpers	287	1.08
44e1e4d67d5148c245db362cc48c3cc6c2ec82ca	git: run in a directory given with -C option	256	0.96
087350398e8b2c5d4b39f051b23a2e533f4d830b	Merge branch 'nr/git-cd-to-a-directory'	233	0.87
2c6b6d9f7d8a26b6ae6493584cc3d2a3cbae7358	help: make option --help open man pages only for Git commands	211	0.79
8b1fa778676ae94f7a6d4113fa90947b548154dd	Allow passing of configuration parameters in the command line	210	0.79
d8e96fd86d415554a9c2e09ffb929a9e22fdad25	git: use run_command() to execute dashed externals	198	0.74
033fe3d92ca16c36fb45ed7cb58d42344088e7bd	git.c: provide setup_auto_pager()	192	0.72
a633fca0c056aa221d23493c276d3713191621b3	Call setup_git_directory() much earlier	188	0.71
a025463bc0ec2c894a88f2dfb44cf88ba71bb712	git alias: try alias last.	188	0.71
90a462725ef3932a2408e78a47e3dfc1b8d445cf	stash: optionally use the scripted version again	187	0.7
441981bc85ea2b648d7ffb2515b371071208e657	git: simplify environment save/restore logic	185	0.69
1f9a980636d39c08c1cf1c13a6e6584d9d039e0e	Merge branch 'jk/maint-config-alias-fix'	180	0.68
63ca1c099c36e61b0e9cd7fa0b912c0b9d89b628	git.c: simplify stripping extension of a file in handle_builtin()	172	0.65
f3bb8b4b8452f1b7add220e787ef56c737ceff6a	Merge branch 'nd/setup'	169	0.63
a907e1b6ec3038306df68dc1275edad7457bba4b	git.c: make autocorrected aliases work	165	0.62
ee38dfb89ef88a3e4e6818b7cfe31d122a1c640d	git wrapper: allow setup_git_directory_gently() be called earlier	161	0.6
8cc5b29065e19267cbc08b39c34674b02c2e3d59	git merge -X<option>	158	0.59
7eff28a9b42cb0d3aad932338b2e645fc6ed8fa9	Disallow working directory commands in a bare repository.	157	0.59
73903d0bcb00518e508f412a1d5c482b5094587e	help: mention -a and -g option, and 'git help <concept>' usage.	154	0.58
7550be0a2bbf47aaa63c806bb5d7fcb8ab197cf8	Prepare execv_git_cmd() for removal of builtins from the filesystem	154	0.58
506ee60d222f94a1598769feaba3b3621bd9fa1a	Merge branch 'ts/alias-of-alias'	154	0.58
6035d6aad8ca11954c0d7821f6f3e7c047039c8f	fetch-pack: prepare updated shallow file before fetching the pack	153	0.57
8893fd95b66cbd6566136a289dd05fcf4e547281	git: add hidden --list-builtins option	151	0.57
83b0ecf333e518867935f6b12c18294a8a7f5017	git: read local config in --list-cmds	150	0.56
6bb2dc0b9472a84c7d17ee93bda28a7c1c97d415	completion: implement and use --list-cmds=main,others	149	0.56
1cd95087c331e17c44a8b62f0614d55e621dcfd4	Support "git cmd --help" syntax	149	0.56
c4f901d1593f3ef097c3e73daa2847ed9ad9efe0	builtin: move builtin retrieval to get_builtin()	147	0.55
dfd42a3c6281275b518f10938dcd858558cd82e3	Allow aliases to expand to shell commands	146	0.55
2b296c93d49d65303a4ce291225c8755eeab1ff8	execv_dashed_external: use child_process struct	145	0.54
850d2fec53ee188bab9e458f77906041ac7f1904	convert manual allocations to argv_array	143	0.54
822a7d507151e1d6310f52d5b05234d65db11a88	Remove cmd_usage() routine and re-organize the help/usage code.	142	0.53
93d935371654faf2956a4c37c1ca46f3195ee832	parse_pathspec: accept :(icase)path syntax	142	0.53
27344d6a6c8056664966e11acf674e5da6dd7ee3	git: add --no-optional-locks option	140	0.53
3c7777672bf9bc9ac2ddb422633b39af4faa1682	git: support --list-cmds=list-<category>	133	0.5
47d0b4ff57f391786ed050f38c0de51462eda97a	Clean up internal command handling	132	0.5
a9a60b94ccda5ff25faf51f39faeac11cac68346	git.c: handle_alias: prepend alias info when first argument is -h	132	0.5
5ae50845d8a30d7db32e139ce04b712f9deb99cd	Merge branch 'pk/rebase-in-c'	131	0.49
463a849d004b2a3f3c8254b1e7985d4e986b9f1a	Add and document a global --no-pager option for git.	130	0.49
c6d75bc17a045af8cadd2dce982f5737a5ca38bb	alias: add support for aliases of an alias	129	0.48
f3dd015c9147e3116fc1941d96f4dad38386b1db	Print a sane error message if an alias expands to an invalid git command	127	0.48
c6127fa3e25551e969d775b0332d37dc84db1969	builtin/help.c: speed up is_git_command() by checking for builtin commands first	122	0.46
7f51f8bc2b9d0556f2fbe20056e8fc8839766c99	alias: use run_command api to execute aliases	121	0.45
6ed547b53b90bebd2371b086b83b416b22b243b2	Merge branch 'js/ref-namespaces'	116	0.44
b7d9681974e61959f10c7b2c1063b7781c5b904e	Print info about "git help COMMAND" on git's main usage pages	115	0.43
86d26f240fcb4f287258ad459efc2b5e30e60cfd	setup.c: re-fix d95138e (setup: set env $GIT_WORK_TREE when ..	109	0.41
246f0edec0b789ccfeebcf7fef85417b7cb04425	execv_dashed_external: stop exiting with negative code	105	0.39
b0fa7ab51b29d34579d8f6bb4443dfbcb8278c7a	git: add --no-replace-objects option to disable replacing	102	0.38
511707d42b3b3e57d9623493092590546ffeae80	use only the $PATH for exec'ing git commands	102	0.38
e8cc9cd98e2ecd7fd8bb03e725d470405c8e2b94	Builtin git-diff-files, git-diff-index, git-diff-stages, and git-diff-tree.	97	0.36
89a56bfbd3fd855cb0c2a381520e6255de41a55e	add --html-path to get the location of installed HTML docs	95	0.36
575ba9d69d5dfd07d95343fe946a5991c4cb27d6	GIT_TRACE: show which built-in/external commands are executed	95	0.36
9509af686bffdbd7c3f17faf3c07d2034d480ffc	Make git-revert & git-cherry-pick a builtin	92	0.35
a87cd02ce02e97083eb76eb8b9bfeb2e46800fd7	Nicer output from 'git'	88	0.33
c321f00d09f56dcf2f149757a2a337f3732f3097	Keep "git --git-dir" from causing a bus error.	87	0.33
7ae3df8c0aa3b7337ae9ac7b6184ac05985bf996	Use new semantics of is_bare/inside_git_dir/inside_work_tree	80	0.3
bd30c2e48432c692f9e77d3529c9cf25117066bb	pathspec: support :(glob) syntax	80	0.3
cf32190aa6966dea519e77cdcc80b87026beb3b4	git.c: execution path	80	0.3
3d7e2d857a570b1d6368285f95b67994fc95629e	"git" returns 1; "git help" and "git help -a" return 0	79	0.3
55d1932bce99d83fa0d891331fe3f3562d33af2e	Merge branch 'cr/tag'	78	0.29
c409824cc2abac46e06091fcb29639b048d23b5d	git.c: let builtins opt for handling `pager.foo` themselves	77	0.29
6476b38b1f3d258006566c3c9c6c80cc07fda354	replace: use a GIT_NO_REPLACE_OBJECTS env variable	77	0.29
6532f3740b1c228c0a2a03a4126f4f7e4f2d73e7	completion: allow to customize the completable command list	76	0.29
b4dfefe00f7035140b7a10e855a665c1347cacd6	Make fsck and fsck-objects be builtins.	76	0.29
a9bcf6586d1a4888aea91553d73cda20494b8335	alias: use the early config machinery to expand aliases	73	0.27
e1b3a2cad79a8138d18593c6eb3c46906ad2ee42	Build-in merge-recursive	73	0.27
0227f9887bcc158dcd22ac4f60e5e428b259dd2d	git: Try a bit harder not to lose errno in stdio	70	0.26
6d87780399e1196932cd5ea72f84aa90224e7402	git: avoid magic number with skip_prefix	70	0.26
3301d36b29467a05107340e4d9688ebf74335021	completion: add and use --list-cmds=alias	68	0.26
1736855c9b59ac787af979a44840a58361cbaf66	Add merge-subtree back	68	0.26
f5bbc3225c4b073a7ff3218164a0c820299bc9c6	Port git commit to C.	67	0.25
c0562611c525bb3c564b79c345fc7e4f9e799e54	git potty: restore environments after alias expansion	66	0.25
8616a2d0cb57865540f1c00ac2e5385a6cc5d84e	block alloc: add validations around cache_entry lifecyle	66	0.25
7dbc2c0402d728a206d4f1bc59729bf3a5cc4455	git wrapper: basic fixes.	65	0.24
c00ba2233ef7dcfa478068c75bc4b25a7ac2a0a8	Sync 'ds/multi-pack-index' to v2.19.0-rc0	65	0.24
53a1116c611e9e717d90e1406b29d97648460773	update-server-info: make builtin, use parseopt	62	0.23
5786f4fac7afa881a306e2b771a0307e4ee05384	Merge branch 'as/autocorrect-alias'	62	0.23
6854a8f5c9ecf32f5bd85020e77d48d3ffdf48fc	common-main: stop munging argv[0] path	62	0.23
9590b041ea464c46d5a6811df5bce83c5dd4d457	Builtins: control the use of pager from the command table.	61	0.23
55071ea248ef8040e4b29575376273e4dd061683	rebase: start implementing it as a builtin	61	0.23
65e1449614d3af34a022007cd335d0e563dea721	Merge branch 'sb/submodule-helper'	60	0.23
783cfafb91538c178d78a9f6c7b609e4f06582f8	Merge branch 'cc/replace'	59	0.22
782c2d65c24066a5d83453efb52763bc34c10f81	Build in checkout	59	0.22
4557f1add261b70887136498084e7491a3f9535f	rebase--helper: add a builtin helper for interactive rebases	59	0.22
1bc01efed17c751e98fd6c5f9889759bfa9a8e9b	upload-archive: use start_command instead of fork	58	0.22
3473ad0cf6c90917813aba978dada6c10352baaa	checkout: don't require a work tree when checking out into a new one	56	0.21
